,Subject,Trial,Song,Entropy,Familiarity,Enjoyment,Artist,Length,Popularity,Explicit,Acousticness,Danceability,Energy,Liveness,Loudness,Key,Mode,Speachiness,Instrumentalness,Tempo,Time signature,Happiness,Subjects,Area,Electrode,Mean_alpha,Std_alpha,Time_over_std,Event_density,Pulse_clarity,Zero_cross,Rolloff,Brightness,Regularity,Mir_entropy,Age,Training,Listening
2800,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,leg_area,7,1.03894143912182,1.84220767763298,0.040590405904059,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
2801,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,leg_area,31,1.01157189438349,1.77756563310794,0.044280442804428,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
2802,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,leg_area,55,1.30608387021044,2.29501621486944,0.044280442804428,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
2803,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,leg_area,80,1.14400326548983,2.0142606816306,0.0479704797047971,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
2804,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,leg_area,106,1.12857020699617,2.00541281040927,0.040590405904059,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
2805,19,10,Careless Love,1.5319536210325768,1,4,Croquet Club,4m 54s,35,no,98,64,26,9,-14.9,A,minor,6,68,82,4,60,19,left_arm,30,0.714059990123832,1.14719061266158,0.0510204081632653,1.87839673913044,0.434899445825498,704.432240106756,3642.32343435288,0.279354974047745,0.258419148861873,0.857734847730226,28,21,7
2806,19,10,Careless Love,1.5319536210325768,1,4,Croquet Club,4m 54s,35,no,98,64,26,9,-14.9,A,minor,6,68,82,4,60,19,left_arm,36,0.887885403599605,1.46451312928122,0.054421768707483,1.87839673913044,0.434899445825498,704.432240106756,3642.32343435288,0.279354974047745,0.258419148861873,0.857734847730226,28,21,7
2807,19,10,Careless Love,1.5319536210325768,1,4,Croquet Club,4m 54s,35,no,98,64,26,9,-14.9,A,minor,6,68,82,4,60,19,left_arm,37,1.03430537155291,1.67011807716723,0.0510204081632653,1.87839673913044,0.434899445825498,704.432240106756,3642.32343435288,0.279354974047745,0.258419148861873,0.857734847730226,28,21,7
2808,19,10,Careless Love,1.5319536210325768,1,4,Croquet Club,4m 54s,35,no,98,64,26,9,-14.9,A,minor,6,68,82,4,60,19,left_arm,41,1.31593834088398,2.24983651087835,0.0612244897959184,1.87839673913044,0.434899445825498,704.432240106756,3642.32343435288,0.279354974047745,0.258419148861873,0.857734847730226,28,21,7
2809,19,10,Careless Love,1.5319536210325768,1,4,Croquet Club,4m 54s,35,no,98,64,26,9,-14.9,A,minor,6,68,82,4,60,19,left_arm,42,1.05155017632085,1.76792772690041,0.0578231292517007,1.87839673913044,0.434899445825498,704.432240106756,3642.32343435288,0.279354974047745,0.258419148861873,0.857734847730226,28,21,7
